Date,Hebrew Date,לימוד,חזרה
"Mon, Dec 4, 2023",כ״א כסלו ה׳תשפ״ד,.ו,.ב Top
"Tue, Dec 5, 2023",כ״ב כסלו ה׳תשפ״ד,,.ב Bottom
"Wed, Dec 6, 2023",כ״ג כסלו ה׳תשפ״ד,,:ב Top
"Thu, Dec 7, 2023",כ״ד כסלו ה׳תשפ״ד,,:ב Bottom
"Fri, Dec 8, 2023",כ״ה כסלו ה׳תשפ״ד,,.ג Top
"Sat, Dec 9, 2023",כ״ו כסלו ה׳תשפ״ד,,.ג Bottom
"Sun, Dec 10, 2023",כ״ז כסלו ה׳תשפ״ד,,:ג Top
"Mon, Dec 11, 2023",כ״ח כסלו ה׳תשפ״ד,:ו,:ג Bottom
"Tue, Dec 12, 2023",כ״ט כסלו ה׳תשפ״ד,,.ד Top
"Wed, Dec 13, 2023",א׳ טבת ה׳תשפ״ד,,.ד Bottom
"Thu, Dec 14, 2023",ב׳ טבת ה׳תשפ״ד,,:ד Top
"Fri, Dec 15, 2023",ג׳ טבת ה׳תשפ״ד,,:ד Bottom
"Sat, Dec 16, 2023",ד׳ טבת ה׳תשפ״ד,,.ה Top
"Sun, Dec 17, 2023",ה׳ טבת ה׳תשפ״ד,,.ה Bottom
"Mon, Dec 18, 2023",ו׳ טבת ה׳תשפ״ד,.ז,:ה Top
"Tue, Dec 19, 2023",ז׳ טבת ה׳תשפ״ד,,:ה Bottom
"Wed, Dec 20, 2023",ח׳ טבת ה׳תשפ״ד,,.ו Top
"Thu, Dec 21, 2023",ט׳ טבת ה׳תשפ״ד,,.ו Bottom
"Fri, Dec 22, 2023",י׳ טבת ה׳תשפ״ד,,:ו Top
"Sat, Dec 23, 2023",י״א טבת ה׳תשפ״ד,,:ו Bottom
"Sun, Dec 24, 2023",י״ב טבת ה׳תשפ״ד,,.ב Top
"Mon, Dec 25, 2023",י״ג טבת ה׳תשפ״ד,:ז,.ב Bottom
"Tue, Dec 26, 2023",י״ד טבת ה׳תשפ״ד,,:ב Top
"Wed, Dec 27, 2023",ט״ו טבת ה׳תשפ״ד,,:ב Bottom
"Thu, Dec 28, 2023",ט״ז טבת ה׳תשפ״ד,,.ג Top
"Fri, Dec 29, 2023",י״ז טבת ה׳תשפ״ד,,.ג Bottom
"Sat, Dec 30, 2023",י״ח טבת ה׳תשפ״ד,,:ג Top
"Sun, Dec 31, 2023",י״ט טבת ה׳תשפ״ד,,OFF
"Mon, Jan 1, 2024",כ׳ טבת ה׳תשפ״ד,.ח,:ג Bottom
"Tue, Jan 2, 2024",כ״א טבת ה׳תשפ״ד,,.ד Top
"Wed, Jan 3, 2024",כ״ב טבת ה׳תשפ״ד,,.ד Bottom
"Thu, Jan 4, 2024",כ״ג טבת ה׳תשפ״ד,,:ד Top
"Fri, Jan 5, 2024",כ״ד טבת ה׳תשפ״ד,,:ד Bottom
"Sat, Jan 6, 2024",כ״ה טבת ה׳תשפ״ד,,.ה Top
"Sun, Jan 7, 2024",כ״ו טבת ה׳תשפ״ד,,.ה Bottom
"Mon, Jan 8, 2024",כ״ז טבת ה׳תשפ״ד,:ח,:ה Top
"Tue, Jan 9, 2024",כ״ח טבת ה׳תשפ״ד,,:ה Bottom
"Wed, Jan 10, 2024",כ״ט טבת ה׳תשפ״ד,,.ו Top
"Thu, Jan 11, 2024",א׳ שבט ה׳תשפ״ד,,.ו Bottom
"Fri, Jan 12, 2024",ב׳ שבט ה׳תשפ״ד,,:ו Top
"Sat, Jan 13, 2024",ג׳ שבט ה׳תשפ״ד,,:ו Bottom
"Sun, Jan 14, 2024",ד׳ שבט ה׳תשפ״ד,,.ז Top
"Mon, Jan 15, 2024",ה׳ שבט ה׳תשפ״ד,.ט,.ז Bottom
"Tue, Jan 16, 2024",ו׳ שבט ה׳תשפ״ד,,:ז Top
"Wed, Jan 17, 2024",ז׳ שבט ה׳תשפ״ד,,:ז Bottom
"Thu, Jan 18, 2024",ח׳ שבט ה׳תשפ״ד,,.ח Top
"Fri, Jan 19, 2024",ט׳ שבט ה׳תשפ״ד,,.ח Bottom
"Sat, Jan 20, 2024",י׳ שבט ה׳תשפ״ד,,:ח Top
"Sun, Jan 21, 2024",י״א שבט ה׳תשפ״ד,,:ח Bottom
"Mon, Jan 22, 2024",י״ב שבט ה׳תשפ״ד,:ט,.ט Top
"Tue, Jan 23, 2024",י״ג שבט ה׳תשפ״ד,,.ט Bottom
"Wed, Jan 24, 2024",י״ד שבט ה׳תשפ״ד,,.ב Top
"Thu, Jan 25, 2024",ט״ו שבט ה׳תשפ״ד,,.ב Bottom
"Fri, Jan 26, 2024",ט״ז שבט ה׳תשפ״ד,,:ב Top
"Sat, Jan 27, 2024",י״ז שבט ה׳תשפ״ד,,:ב Bottom
"Sun, Jan 28, 2024",י״ח שבט ה׳תשפ״ד,,.ג Top
"Mon, Jan 29, 2024",י״ט שבט ה׳תשפ״ד,.י,.ג Bottom
"Tue, Jan 30, 2024",כ׳ שבט ה׳תשפ״ד,,:ג Top
"Wed, Jan 31, 2024",כ״א שבט ה׳תשפ״ד,,:ג Bottom
"Thu, Feb 1, 2024",כ״ב שבט ה׳תשפ״ד,,.ד Top
