Date,Hebrew Date,Limud,Chazarah
"Mon, Nov 27, 2023",י״ד כסלו ה׳תשפ״ד,6a,2a Top
"Tue, Nov 28, 2023",ט״ו כסלו ה׳תשפ״ד,,2a Bottom
"Wed, Nov 29, 2023",ט״ז כסלו ה׳תשפ״ד,,2b Top
"Thu, Nov 30, 2023",י״ז כסלו ה׳תשפ״ד,,2b Bottom
"Fri, Dec 1, 2023",י״ח כסלו ה׳תשפ״ד,,3a Top
"Sat, Dec 2, 2023",י״ט כסלו ה׳תשפ״ד,,3a Bottom
"Sun, Dec 3, 2023",כ׳ כסלו ה׳תשפ״ד,,3b Top
"Mon, Dec 4, 2023",כ״א כסלו ה׳תשפ״ד,6b,3b Bottom
"Tue, Dec 5, 2023",כ״ב כסלו ה׳תשפ״ד,,4a Top
"Wed, Dec 6, 2023",כ״ג כסלו ה׳תשפ״ד,,4a Bottom
"Thu, Dec 7, 2023",כ״ד כסלו ה׳תשפ״ד,,4b Top
"Fri, Dec 8, 2023",כ״ה כסלו ה׳תשפ״ד,,4b Bottom
"Sat, Dec 9, 2023",כ״ו כסלו ה׳תשפ״ד,,5a Top
"Sun, Dec 10, 2023",כ״ז כסלו ה׳תשפ״ד,,5a Bottom
"Mon, Dec 11, 2023",כ״ח כסלו ה׳תשפ״ד,7a,5b Top
"Tue, Dec 12, 2023",כ״ט כסלו ה׳תשפ״ד,,5b Bottom
"Wed, Dec 13, 2023",א׳ טבת ה׳תשפ״ד,,6a Top
"Thu, Dec 14, 2023",ב׳ טבת ה׳תשפ״ד,,6a Bottom
"Fri, Dec 15, 2023",ג׳ טבת ה׳תשפ״ד,,6b Top
"Sat, Dec 16, 2023",ד׳ טבת ה׳תשפ״ד,,6b Bottom
"Sun, Dec 17, 2023",ה׳ טבת ה׳תשפ״ד,,7a Top
"Mon, Dec 18, 2023",ו׳ טבת ה׳תשפ״ד,7b,7a Bottom
"Tue, Dec 19, 2023",ז׳ טבת ה׳תשפ״ד,,7b Top
"Wed, Dec 20, 2023",ח׳ טבת ה׳תשפ״ד,,2a Top
"Thu, Dec 21, 2023",ט׳ טבת ה׳תשפ״ד,,2a Bottom
"Fri, Dec 22, 2023",י׳ טבת ה׳תשפ״ד,,2b Top
"Sat, Dec 23, 2023",י״א טבת ה׳תשפ״ד,,2b Bottom
"Sun, Dec 24, 2023",י״ב טבת ה׳תשפ״ד,,3a Top
"Mon, Dec 25, 2023",י״ג טבת ה׳תשפ״ד,8a,3a Bottom
"Tue, Dec 26, 2023",י״ד טבת ה׳תשפ״ד,,3b Top
"Wed, Dec 27, 2023",ט״ו טבת ה׳תשפ״ד,,3b Bottom
"Thu, Dec 28, 2023",ט״ז טבת ה׳תשפ״ד,,4a Top
"Fri, Dec 29, 2023",י״ז טבת ה׳תשפ״ד,,4a Bottom
"Sat, Dec 30, 2023",י״ח טבת ה׳תשפ״ד,,4b Top
"Sun, Dec 31, 2023",י״ט טבת ה׳תשפ״ד,,4b Bottom
"Mon, Jan 1, 2024",כ׳ טבת ה׳תשפ״ד,8b,5a Top
"Tue, Jan 2, 2024",כ״א טבת ה׳תשפ״ד,,5a Bottom
"Wed, Jan 3, 2024",כ״ב טבת ה׳תשפ״ד,,5b Top
"Thu, Jan 4, 2024",כ״ג טבת ה׳תשפ״ד,,5b Bottom
"Fri, Jan 5, 2024",כ״ד טבת ה׳תשפ״ד,,6a Top
"Sat, Jan 6, 2024",כ״ה טבת ה׳תשפ״ד,,6a Bottom
"Sun, Jan 7, 2024",כ״ו טבת ה׳תשפ״ד,,6b Top
"Mon, Jan 8, 2024",כ״ז טבת ה׳תשפ״ד,9a,6b Bottom
"Tue, Jan 9, 2024",כ״ח טבת ה׳תשפ״ד,,7a Top
"Wed, Jan 10, 2024",כ״ט טבת ה׳תשפ״ד,,7a Bottom
"Thu, Jan 11, 2024",א׳ שבט ה׳תשפ״ד,,7b Top
"Fri, Jan 12, 2024",ב׳ שבט ה׳תשפ״ד,,7b Bottom
"Sat, Jan 13, 2024",ג׳ שבט ה׳תשפ״ד,,8b Top
"Sun, Jan 14, 2024",ד׳ שבט ה׳תשפ״ד,,8a Bottom
"Mon, Jan 15, 2024",ה׳ שבט ה׳תשפ״ד,9b,8a Top
"Tue, Jan 16, 2024",ו׳ שבט ה׳תשפ״ד,,8b Bottom
"Wed, Jan 17, 2024",ז׳ שבט ה׳תשפ״ד,,9b Top
"Thu, Jan 18, 2024",ח׳ שבט ה׳תשפ״ד,,2a Top
"Fri, Jan 19, 2024",ט׳ שבט ה׳תשפ״ד,,2a Bottom
"Sat, Jan 20, 2024",י׳ שבט ה׳תשפ״ד,,2b Top
"Sun, Jan 21, 2024",י״א שבט ה׳תשפ״ד,,2b Bottom
"Mon, Jan 22, 2024",י״ב שבט ה׳תשפ״ד,10a,3a Top
"Tue, Jan 23, 2024",י״ג שבט ה׳תשפ״ד,,3a Bottom
"Wed, Jan 24, 2024",י״ד שבט ה׳תשפ״ד,,3b Top
"Thu, Jan 25, 2024",ט״ו שבט ה׳תשפ״ד,,3b Bottom
