Row,Date,English Day,Hebrew Day,Limud,Chazarah
0,11/27/2023,Sun,יום א׳,6a,2aTop
1,11/28/2023,Mon,יום ב׳,6a,2aBottom
2,11/29/2023,Tue,יום ג׳,6a,2bTop
3,11/30/2023,Wed,יום ד׳,6a,2bBottom
4,12/01/2023,Thu,יום ה׳,6a,3aTop
5,12/02/2023,Fri,יום ו׳,6a,3aBottom
6,12/03/2023,Sat,שבת קדש,6a,3bTop
7,12/04/2023,Sun,יום א׳,6b,3bBottom
8,12/05/2023,Mon,יום ב׳,6b,4aTop
9,12/06/2023,Tue,יום ג׳,6b,4aBottom
10,12/07/2023,Wed,יום ד׳,6b,4bTop
11,12/08/2023,Thu,יום ה׳,6b,4bBottom
12,12/09/2023,Fri,יום ו׳,6b,5aTop
13,12/10/2023,Sat,שבת קדש,6b,5aBottom
14,12/11/2023,Sun,יום א׳,7a,5bTop
15,12/12/2023,Mon,יום ב׳,7a,5bBottom
16,12/13/2023,Tue,יום ג׳,7a,6aTop
17,12/14/2023,Wed,יום ד׳,7a,6aBottom
18,12/15/2023,Thu,יום ה׳,7a,6bTop
19,12/16/2023,Fri,יום ו׳,7a,6bBottom
20,12/17/2023,Sat,שבת קדש,7a,7aTop
21,12/18/2023,Sun,יום א׳,7b,7aBottom
22,12/19/2023,Mon,יום ב׳,7b,7bTop
23,12/20/2023,Tue,יום ג׳,7b,2aTop
24,12/21/2023,Wed,יום ד׳,7b,2aBottom
25,12/22/2023,Thu,יום ה׳,7b,2bTop
26,12/23/2023,Fri,יום ו׳,7b,2bBottom
27,12/24/2023,Sat,שבת קדש,7b,3aTop
28,12/25/2023,Sun,יום א׳,8a,3aBottom
29,12/26/2023,Mon,יום ב׳,8a,3bTop
30,12/27/2023,Tue,יום ג׳,8a,3bBottom
31,12/28/2023,Wed,יום ד׳,8a,4aTop
32,12/29/2023,Thu,יום ה׳,8a,4aBottom
33,12/30/2023,Fri,יום ו׳,8a,4bTop
34,12/31/2023,Sat,שבת קדש,8a,4bBottom
35,01/01/2024,Sun,יום א׳,8b,5aTop
36,01/02/2024,Mon,יום ב׳,8b,5aBottom
37,01/03/2024,Tue,יום ג׳,8b,5bTop
38,01/04/2024,Wed,יום ד׳,8b,5bBottom
39,01/05/2024,Thu,יום ה׳,8b,6aTop
40,01/06/2024,Fri,יום ו׳,8b,6aBottom
41,01/07/2024,Sat,שבת קדש,8b,6bTop
42,01/08/2024,Sun,יום א׳,9a,6bBottom
43,01/09/2024,Mon,יום ב׳,9a,7aTop
44,01/10/2024,Tue,יום ג׳,9a,7aBottom
45,01/11/2024,Wed,יום ד׳,9a,7bTop
46,01/12/2024,Thu,יום ה׳,9a,7bBottom
47,01/13/2024,Fri,יום ו׳,9a,8bTop
48,01/14/2024,Sat,שבת קדש,9a,8aBottom
49,01/15/2024,Sun,יום א׳,9b,8aTop
50,01/16/2024,Mon,יום ב׳,9b,8bBottom
51,01/17/2024,Tue,יום ג׳,9b,9bTop
52,01/18/2024,Wed,יום ד׳,9b,2aTop
53,01/19/2024,Thu,יום ה׳,9b,2aBottom
54,01/20/2024,Fri,יום ו׳,9b,2bTop
55,01/21/2024,Sat,שבת קדש,9b,2bBottom
56,01/22/2024,Sun,יום א׳,10a,3aTop
57,01/23/2024,Mon,יום ב׳,10a,3aBottom
58,01/24/2024,Tue,יום ג׳,10a,3bTop
59,01/25/2024,Wed,יום ד׳,10a,3bBottom
60,01/26/2024,Thu,יום ה׳,10a,4aTop
61,01/27/2024,Fri,יום ו׳,10a,4aBottom
62,01/28/2024,Sat,שבת קדש,10a,4bTop
63,01/29/2024,Sun,יום א׳,10b,4bBottom
64,01/30/2024,Mon,יום ב׳,10b,5aTop
65,01/31/2024,Tue,יום ג׳,10b,5aBottom
66,02/01/2024,Wed,יום ד׳,10b,5bTop
67,02/02/2024,Thu,יום ה׳,10b,5bBottom
68,02/03/2024,Fri,יום ו׳,10b,6aTop
69,02/04/2024,Sat,שבת קדש,10b,6aBottom
70,02/05/2024,Sun,יום א׳,11a,6bTop
71,02/06/2024,Mon,יום ב׳,11a,6bBottom
72,02/07/2024,Tue,יום ג׳,11a,7aTop
73,02/08/2024,Wed,יום ד׳,11a,7aBottom
74,02/09/2024,Thu,יום ה׳,11a,7bTop
75,02/10/2024,Fri,יום ו׳,11a,7bBottom
76,02/11/2024,Sat,שבת קדש,11a,8bTop
77,02/12/2024,Sun,יום א׳,11b,8aBottom
78,02/13/2024,Mon,יום ב׳,11b,8aTop
79,02/14/2024,Tue,יום ג׳,11b,8bBottom
80,02/15/2024,Wed,יום ד׳,11b,9bTop
81,02/16/2024,Thu,יום ה׳,11b,9aBottom
82,02/17/2024,Fri,יום ו׳,11b,9aTop
83,02/18/2024,Sat,שבת קדש,11b,9bBottom
84,02/19/2024,Sun,יום א׳,12a,10bTop
85,02/20/2024,Mon,יום ב׳,12a,10aBottom
